"insurer_nm","claim_id","claim_create_dt","current_status","current_substatus","invoice_date","outlet_nm","outlet_type","outlet_city","outlet_province","claim_vehicle_year","claim_vehicle_make","claim_vehicle_model","event_status","event_substatus","first_time_in_status","total_hrs_in_status"
"SANTAM",620888,"2018-01-02 07:19:13.86","Invoiced","ClaimMovedToInvoiced","2018-01-04","Cape Town","Branch","Cape Town","Western Cape",2006,"HYUNDAI","HATCH 5DR (2003/Current)","M & F","MnFClaimCreated","2018-01-02 07:19:15.847","0.212"
"SANTAM",620888,"2018-01-02 07:19:13.86","Invoiced","ClaimMovedToInvoiced","2018-01-04","Cape Town","Branch","Cape Town","Western Cape",2006,"HYUNDAI","HATCH 5DR (2003/Current)","Open","Claim Not accepted","2018-01-02 08:12:43.743","0.44"
"SANTAM",620888,"2018-01-02 07:19:13.86","Invoiced","ClaimMovedToInvoiced","2018-01-04","Cape Town","Branch","Cape Town","Western Cape",2006,"HYUNDAI","HATCH 5DR (2003/Current)","Open","Claim Accepted","2018-01-02 08:39:08.57","0.185"
"SANTAM",620888,"2018-01-02 07:19:13.86","Invoiced","ClaimMovedToInvoiced","2018-01-04","Cape Town","Branch","Cape Town","Western Cape",2006,"HYUNDAI","HATCH 5DR (2003/Current)","Open","LeftSMS Or Voicemail","2018-01-02 08:50:15.027","0.061"
"SANTAM",620888,"2018-01-02 07:19:13.86","Invoiced","ClaimMovedToInvoiced","2018-01-04","Cape Town","Branch","Cape Town","Western Cape",2006,"HYUNDAI","HATCH 5DR (2003/Current)","Open","Communicated With Client","2018-01-02 08:53:54.933","5.249"
"SANTAM",620888,"2018-01-02 07:19:13.86","Invoiced","ClaimMovedToInvoiced","2018-01-04","Cape Town","Branch","Cape Town","Western Cape",2006,"HYUNDAI","HATCH 5DR (2003/Current)","Booked","Pre-Booked","2018-01-02 14:08:51.94","6.352"
"SANTAM",620888,"2018-01-02 07:19:13.86","Invoiced","ClaimMovedToInvoiced","2018-01-04","Cape Town","Branch","Cape Town","Western Cape",2006,"HYUNDAI","HATCH 5DR (2003/Current)","Booked","Post-Booked","2018-01-03 11:30:00","3.882"
"SANTAM",620888,"2018-01-02 07:19:13.86","Invoiced","ClaimMovedToInvoiced","2018-01-04","Cape Town","Branch","Cape Town","Western Cape",2006,"HYUNDAI","HATCH 5DR (2003/Current)","Booked","Fitment Completed","2018-01-03 15:22:49.867","0.001"
"SANTAM",620888,"2018-01-02 07:19:13.86","Invoiced","ClaimMovedToInvoiced","2018-01-04","Cape Town","Branch","Cape Town","Western Cape",2006,"HYUNDAI","HATCH 5DR (2003/Current)","Completed","ClaimMovedToCompleted","2018-01-03 15:22:59.197","7.501"
"SANTAM",620888,"2018-01-02 07:19:13.86","Invoiced","ClaimMovedToInvoiced","2018-01-04","Cape Town","Branch","Cape Town","Western Cape",2006,"HYUNDAI","HATCH 5DR (2003/Current)","Invoiced","ClaimMovedToInvoiced","2018-01-04 13:53:04.417","2267"
"SANTAM",620889,"2018-01-02 07:38:40.44","Invoiced","ClaimMovedToInvoiced","2018-01-11","Pretoria","Branch"," Pretoria"," 0182",2012,"PEUGEOT","HATCH 5DR (2007/Current)","M & F","MnFClaimCreated","2018-01-02 07:38:40.877","0.274"
"SANTAM",620889,"2018-01-02 07:38:40.44","Invoiced","ClaimMovedToInvoiced","2018-01-11","Pretoria","Branch"," Pretoria"," 0182",2012,"PEUGEOT","HATCH 5DR (2007/Current)","Open","Claim Not accepted","2018-01-02 08:16:26.837","1.92"
"SANTAM",620889,"2018-01-02 07:38:40.44","Invoiced","ClaimMovedToInvoiced","2018-01-11","Pretoria","Branch"," Pretoria"," 0182",2012,"PEUGEOT","HATCH 5DR (2007/Current)","Open","Claim Accepted","2018-01-02 10:11:40.663","0.008"
"SANTAM",620889,"2018-01-02 07:38:40.44","Invoiced","ClaimMovedToInvoiced","2018-01-11","Pretoria","Branch"," Pretoria"," 0182",2012,"PEUGEOT","HATCH 5DR (2007/Current)","Open","Communicated With Client","2018-01-02 10:12:08.817","17.255"
"SANTAM",620889,"2018-01-02 07:38:40.44","Invoiced","ClaimMovedToInvoiced","2018-01-11","Pretoria","Branch"," Pretoria"," 0182",2012,"PEUGEOT","HATCH 5DR (2007/Current)","Open","LeftSMS Or Voicemail","2018-01-02 10:15:50.333","0.776"
"SANTAM",620889,"2018-01-02 07:38:40.44","Invoiced","ClaimMovedToInvoiced","2018-01-11","Pretoria","Branch"," Pretoria"," 0182",2012,"PEUGEOT","HATCH 5DR (2007/Current)","Booked","Pre-Booked","2018-01-02 16:13:21.533","17.600"
